epoch,accuracy,loss,val_accuracy,val_loss
0,0.9486833214759827,0.17147579789161682,0.9768999814987183,0.07284803688526154
1,0.9624999761581421,0.12132454663515091,0.9814000129699707,0.05915425345301628
2,0.9690166711807251,0.1022263914346695,0.984000027179718,0.05550086125731468
3,0.973633348941803,0.08671202510595322,0.9848999977111816,0.0463293232023716
4,0.9751833081245422,0.07987497001886368,0.9876999855041504,0.04281655326485634
5,0.9767333269119263,0.07399624586105347,0.9886999726295471,0.04094776138663292
6,0.9793499708175659,0.06770797818899155,0.9868999719619751,0.04305802658200264
7,0.9802166819572449,0.06443506479263306,0.9891999959945679,0.03768650069832802
8,0.9815499782562256,0.06077488511800766,0.9886000156402588,0.03871353343129158
9,0.9822333455085754,0.05747548118233681,0.9894000291824341,0.036025628447532654
10,0.9820166826248169,0.05717693641781807,0.9901999831199646,0.03644508495926857
11,0.9837833046913147,0.05115149915218353,0.9907000064849854,0.034687623381614685
12,0.9847833514213562,0.050228461623191833,0.989799976348877,0.032766032963991165
13,0.9850666522979736,0.04819868505001068,0.9896000027656555,0.03382312133908272
14,0.9843166470527649,0.0492808036506176,0.9901999831199646,0.03522259369492531
15,0.9854833483695984,0.04622010514140129,0.9901999831199646,0.03383339196443558
16,0.985883355140686,0.04418182373046875,0.9897000193595886,0.03586798533797264
17,0.9866166710853577,0.04304184019565582,0.9898999929428101,0.036664947867393494
18,0.9869499802589417,0.0410187691450119,0.9904999732971191,0.03646816685795784
19,0.9874666929244995,0.038627587258815765,0.9902999997138977,0.03293948620557785
20,0.9873666763305664,0.04132809117436409,0.9904999732971191,0.03401104360818863
21,0.987766683101654,0.03957657143473625,0.9900000095367432,0.03398134931921959
22,0.9879000186920166,0.03824889659881592,0.9907000064849854,0.031684063374996185
23,0.9882000088691711,0.03619545325636864,0.9908000230789185,0.03149416670203209
24,0.9885500073432922,0.035108841955661774,0.9901000261306763,0.032690778374671936
25,0.9887666702270508,0.03599965572357178,0.9915000200271606,0.030905432999134064
26,0.9892333149909973,0.03501472994685173,0.9896000027656555,0.03936703875660896
27,0.9888833165168762,0.0355597585439682,0.9919999837875366,0.03206966072320938
28,0.9896833300590515,0.03277338296175003,0.991100013256073,0.03010113164782524
29,0.9890999794006348,0.03454558178782463,0.9904999732971191,0.032222144305706024
30,0.9894499778747559,0.03331981971859932,0.9908999800682068,0.034946247935295105
31,0.9887833595275879,0.03462492302060127,0.9916999936103821,0.03130953758955002
32,0.9889666438102722,0.03327193483710289,0.9914000034332275,0.031698331236839294
33,0.9896166920661926,0.031462475657463074,0.9912999868392944,0.03270673379302025
34,0.9897333383560181,0.031037969514727592,0.9922000169754028,0.027744153514504433
35,0.9894333481788635,0.0322449654340744,0.9925000071525574,0.030550314113497734
36,0.9897333383560181,0.031496237963438034,0.9918000102043152,0.029379595071077347
37,0.989883303642273,0.029962757602334023,0.9919999837875366,0.029063336551189423
38,0.9902499914169312,0.02977406606078148,0.9904000163078308,0.034239184111356735
39,0.9905499815940857,0.029056044295430183,0.9912999868392944,0.03149483725428581
40,0.9914833307266235,0.027088582515716553,0.9919999837875366,0.030977966263890266
41,0.9898666739463806,0.03109331987798214,0.9916999936103821,0.03460828959941864
42,0.990149974822998,0.03026636503636837,0.9925000071525574,0.02888554334640503
43,0.9911500215530396,0.027918843552470207,0.9921000003814697,0.028660491108894348
44,0.9907833337783813,0.027325795963406563,0.9918000102043152,0.02860962226986885
45,0.9917666912078857,0.026068927720189095,0.9927999973297119,0.029372362419962883
46,0.9917166829109192,0.025537587702274323,0.9925000071525574,0.028037987649440765
47,0.9905999898910522,0.02929552085697651,0.9914000034332275,0.0287296324968338
48,0.9910333156585693,0.027707558125257492,0.9918000102043152,0.029956942424178123
49,0.9915333390235901,0.026747461408376694,0.991599977016449,0.031670309603214264
